Hour Index,Inflated to 2020 prices,,,adjusted_value = (old_value * cpi_current) / cpi_old,,,,,,,Year,Annual,,,,,,($/kWh),,,,Inflated to 2020 prices
313,0.023850656,,,,,,,,,,,,,,,,,0.02356,,,,0.023850656
314,0.023071157,,,,,,,,,,,,,,,,,0.02279,,,,0.023071157
315,0.022322027,,,,,,,,,,,,,,,,,0.02205,,,,0.022322027
316,0.024174604,,,,,,,,,,,,,,,,,0.02388,,,,0.024174604
317,0.025490642,,,,,,,,,,,,,,,,,0.02518,,,,0.025490642
318,0.031281208,,,,,,,,,,,,,,,,,0.0309,,,,0.031281208
319,0.06635868,,,,,,,,,,,,,,,,,0.06555,,,,0.06635868
320,0.050657336,,,,,,,,,,,,,,,,,0.05004,,,,0.050657336
321,0.032951564,,,,,,,,,,,,,,,,,0.03255,,,,0.032951564
322,0.030491586,,,,,,,,,,,,,,,,,0.03012,,,,0.030491586
323,0.028051854,,,,,,,,,,,,,,,,,0.02771,,,,0.028051854
324,0.027211614,,,,,,,,,,,,,,,,,0.02688,,,,0.027211614
325,0.025399531,,,,,,,,,,,,,,,,,0.02509,,,,0.025399531
326,0.024458058,,,,,,,,,,,,,,,,,0.02416,,,,0.024458058
327,0.023010416,,,,,,,,,,,,,,,,,0.02273,,,,0.023010416
328,0.022261287,,,,,,,,,,,,,,,,,0.02199,,,,0.022261287
329,0.024194851,,,,,,,,,,,,,,,,,0.0239,,,,0.024194851
330,0.033639953,,,,,,,,,,,,,,,,,0.03323,,,,0.033639953
331,0.036322646,,,,,,,,,,,,,,,,,0.03588,,,,0.036322646
332,0.028740243,,,,,,,,,,,,,,,,,0.02839,,,,0.028740243
333,0.026756063,,,,,,,,,,,,,,,,,0.02643,,,,0.026756063
334,0.024437811,,,,,,,,,,,,,,,,,0.02414,,,,0.024437811
335,0.022504248,,,,,,,,,,,,,,,,,0.02223,,,,0.022504248
336,0.021967709,,,,,,,,,,,,,,,,,0.0217,,,,0.021967709
337,0.021016113,,,,,,,,,,,,,,,,,0.02076,,,,0.021016113
338,0.020773152,,,,,,,,,,,,,,,,,0.02052,,,,0.020773152
339,0.020975619,,,,,,,,,,,,,,,,,0.02072,,,,0.020975619
340,0.020793399,,,,,,,,,,,,,,,,,0.02054,,,,0.020793399
341,0.022281534,,,,,,,,,,,,,,,,,0.02201,,,,0.022281534
342,0.025440025,,,,,,,,,,,,,,,,,0.02513,,,,0.025440025
343,0.039541877,,,,,,,,,,,,,,,,,0.03906,,,,0.039541877
344,0.034044888,,,,,,,,,,,,,,,,,0.03363,,,,0.034044888
345,0.030258748,,,,,,,,,,,,,,,,,0.02989,,,,0.030258748
346,0.032840207,,,,,,,,,,,,,,,,,0.03244,,,,0.032840207
347,0.031068618,,,,,,,,,,,,,,,,,0.03069,,,,0.031068618
348,0.029357768,,,,,,,,,,,,,,,,,0.029,,,,0.029357768
349,0.028021484,,,,,,,,,,,,,,,,,0.02768,,,,0.028021484
350,0.02395189,,,,,,,,,,,,,,,,,0.02366,,,,0.02395189
351,0.022595358,,,,,,,,,,,,,,,,,0.02232,,,,0.022595358
352,0.022706715,,,,,,,,,,,,,,,,,0.02243,,,,0.022706715
353,0.023708929,,,,,,,,,,,,,,,,,0.02342,,,,0.023708929
354,0.037183132,,,,,,,,,,,,,,,,,0.03673,,,,0.037183132
355,0.035603887,,,,,,,,,,,,,,,,,0.03517,,,,0.035603887
356,0.027636796,,,,,,,,,,,,,,,,,0.0273,,,,0.027636796
357,0.025622245,,,,,,,,,,,,,,,,,0.02531,,,,0.025622245
